CookerStat, GenerateAssetRegistry=0.035927, Initialize=0.172164, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_0, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=9.200722, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.111043, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=58.984936, TagPackageExports=1.739368, BeginCacheForCookedPlatformData=0.003733, SerializeImports=2.644505, GatherLocalizableTextData=3.747009, MarkNames=0.043858, SerializeSummary=0.024263, SerializeNames=0.316799, SerializeGatherableTextData=0.016332, BuildExportMap=0.219751, SortExportsNonSeekfree=0.252414, SortExportsSeekfreeConstructor=0.091914, SortExportsSeekfreeInner=10.851439, SortExportsSeekfree=0.006534, BuildDependencyMap=0.065319, SerializeImportMap=0.027061, SerializeExportMap=0.024263, SerializeDependencyMap=0.008397, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.877149, SerializeExports=3.658827, SerializeBulkData=0.022393, MoveFile=1.199082, UnaccountedTime=0.132505, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_1, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=6.814692, FlushAsyncLoading=0.004202, FlushStreamingFunc=0.137169, BlockTillAllRequestsFinished=0.023328, ResetLoadersForSaveUnMarkAllObjects=50.554516, TagPackageExports=1.760826, BeginCacheForCookedPlatformData=0.004202, SerializeImports=2.634708, GatherLocalizableTextData=3.754009, MarkNames=0.039656, SerializeSummary=0.017263, SerializeNames=0.333130, SerializeGatherableTextData=0.016332, BuildExportMap=0.221618, SortExportsNonSeekfree=0.250082, SortExportsSeekfreeConstructor=0.076983, SortExportsSeekfreeInner=10.835112, SortExportsSeekfree=0.005130, BuildDependencyMap=0.059254, SerializeImportMap=0.021461, SerializeExportMap=0.022862, SerializeDependencyMap=0.008401, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.858020, SerializeExports=3.510457, SerializeBulkData=0.007000, MoveFile=1.229405, UnaccountedTime=0.113379, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_2, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=6.984524, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.056919, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=53.051121, TagPackageExports=1.828480, BeginCacheForCookedPlatformData=0.004198, SerializeImports=2.872661, GatherLocalizableTextData=3.858518, MarkNames=0.040125, SerializeSummary=0.016797, SerializeNames=0.341062, SerializeGatherableTextData=0.016328, BuildExportMap=0.225354, SortExportsNonSeekfree=0.256613, SortExportsSeekfreeConstructor=0.077914, SortExportsSeekfreeInner=11.130914, SortExportsSeekfree=0.006065, BuildDependencyMap=0.061121, SerializeImportMap=0.020996, SerializeExportMap=0.023328, SerializeDependencyMap=0.007931, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.874348, SerializeExports=3.560848, SerializeBulkData=0.007000, MoveFile=1.145422, UnaccountedTime=0.120845, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_3, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=14.350235, FlushAsyncLoading=0.013061, FlushStreamingFunc=0.127841, BlockTillAllRequestsFinished=0.016797, ResetLoadersForSaveUnMarkAllObjects=56.287704, TagPackageExports=1.806553, BeginCacheForCookedPlatformData=0.003733, SerializeImports=2.750419, GatherLocalizableTextData=3.842186, MarkNames=0.041060, SerializeSummary=0.018194, SerializeNames=0.348993, SerializeGatherableTextData=0.016332, BuildExportMap=0.342928, SortExportsNonSeekfree=0.256609, SortExportsSeekfreeConstructor=0.076517, SortExportsSeekfreeInner=10.894365, SortExportsSeekfree=0.005599, BuildDependencyMap=0.059720, SerializeImportMap=0.021931, SerializeExportMap=0.026125, SerializeDependencyMap=0.007462, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.895344, SerializeExports=3.562715, SerializeBulkData=0.007931, MoveFile=1.218677, UnaccountedTime=0.116643, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_4, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=7.480021, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.117578, BlockTillAllRequestsFinished=0.026591, ResetLoadersForSaveUnMarkAllObjects=53.612873, TagPackageExports=1.888670, BeginCacheForCookedPlatformData=0.003733, SerializeImports=2.645906, GatherLocalizableTextData=3.874380, MarkNames=0.041991, SerializeSummary=0.019129, SerializeNames=0.342928, SerializeGatherableTextData=0.015862, BuildExportMap=0.223488, SortExportsNonSeekfree=0.251945, SortExportsSeekfreeConstructor=0.077453, SortExportsSeekfreeInner=10.750194, SortExportsSeekfree=0.006065, BuildDependencyMap=0.061121, SerializeImportMap=0.022862, SerializeExportMap=0.023328, SerializeDependencyMap=0.006996, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.866417, SerializeExports=3.605172, SerializeBulkData=0.007931, MoveFile=1.228008, UnaccountedTime=0.118040, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_5, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=12.440570, FlushAsyncLoading=0.008397, FlushStreamingFunc=0.170764, BlockTillAllRequestsFinished=0.017263, ResetLoadersForSaveUnMarkAllObjects=54.814751, TagPackageExports=1.815885, BeginCacheForCookedPlatformData=0.003729, SerializeImports=2.659440, GatherLocalizableTextData=3.868781, MarkNames=0.041060, SerializeSummary=0.018660, SerializeNames=0.341531, SerializeGatherableTextData=0.016328, BuildExportMap=0.217423, SortExportsNonSeekfree=0.256609, SortExportsSeekfreeConstructor=0.077453, SortExportsSeekfreeInner=10.800116, SortExportsSeekfree=0.005599, BuildDependencyMap=0.061121, SerializeImportMap=0.022862, SerializeExportMap=0.023797, SerializeDependencyMap=0.007462, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.872016, SerializeExports=3.509059, SerializeBulkData=0.008397, MoveFile=1.266729, UnaccountedTime=0.124574, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_6, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=7.731966, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.120375, BlockTillAllRequestsFinished=0.012130, ResetLoadersForSaveUnMarkAllObjects=51.930893, TagPackageExports=1.790222, BeginCacheForCookedPlatformData=0.004202, SerializeImports=2.760217, GatherLocalizableTextData=3.756337, MarkNames=0.041991, SerializeSummary=0.019129, SerializeNames=0.340130, SerializeGatherableTextData=0.016794, BuildExportMap=0.223022, SortExportsNonSeekfree=0.254747, SortExportsSeekfreeConstructor=0.077449, SortExportsSeekfreeInner=10.891564, SortExportsSeekfree=0.006065, BuildDependencyMap=0.061121, SerializeImportMap=0.025198, SerializeExportMap=0.023328, SerializeDependencyMap=0.007465, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.968594, SerializeExports=3.603771, SerializeBulkData=0.007931, MoveFile=1.239203, UnaccountedTime=0.117108, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_7, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/MainMenu_Auto1.umap, AutoPackageBackupDelegate=7.815018, FlushAsyncLoading=0.004198, FlushStreamingFunc=0.107311, BlockTillAllRequestsFinished=0.006996, ResetLoadersForSaveUnMarkAllObjects=56.244781, TagPackageExports=1.686174, BeginCacheForCookedPlatformData=0.004202, SerializeImports=2.589919, GatherLocalizableTextData=2.559125, MarkNames=0.034060, SerializeSummary=0.017729, SerializeNames=0.209488, SerializeGatherableTextData=0.135306, BuildExportMap=0.192691, SortExportsNonSeekfree=0.234216, SortExportsSeekfreeConstructor=0.077453, SortExportsSeekfreeInner=9.540849, SortExportsSeekfree=0.005133, BuildDependencyMap=0.053655, SerializeImportMap=0.018660, SerializeExportMap=0.021931, SerializeDependencyMap=0.007000, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.815094, SerializeExports=3.407348, SerializeBulkData=0.007000, MoveFile=1.244802, UnaccountedTime=0.150703, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_8, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=12.236216, FlushAsyncLoading=0.008397, FlushStreamingFunc=0.174962, BlockTillAllRequestsFinished=0.018198, ResetLoadersForSaveUnMarkAllObjects=54.611790, TagPackageExports=1.938123, BeginCacheForCookedPlatformData=0.004202, SerializeImports=2.659902, GatherLocalizableTextData=3.778737, MarkNames=0.041056, SerializeSummary=0.018664, SerializeNames=0.343859, SerializeGatherableTextData=0.015866, BuildExportMap=0.223018, SortExportsNonSeekfree=0.256147, SortExportsSeekfreeConstructor=0.077449, SortExportsSeekfreeInner=10.708671, SortExportsSeekfree=0.006065, BuildDependencyMap=0.060655, SerializeImportMap=0.022862, SerializeExportMap=0.023328, SerializeDependencyMap=0.008862, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.861753, SerializeExports=3.606103, SerializeBulkData=0.008397, MoveFile=1.229409, UnaccountedTime=0.118509, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_9, Filename=../../../../../../UnrealProjects/SteamProject/Content/Blueprints/Gameplay/GameplayPC.uasset, AutoPackageBackupDelegate=12.144301, FlushAsyncLoading=0.007931, FlushStreamingFunc=1.225207, BlockTillAllRequestsFinished=0.008397, ResetLoadersForSaveUnMarkAllObjects=0.190362, TagPackageExports=26.419882, BeginCacheForCookedPlatformData=0.003733, SerializeImports=28.874964, GatherLocalizableTextData=16.212776, MarkNames=0.121772, SerializeSummary=0.019595, SerializeNames=0.461902, SerializeGatherableTextData=0.211824, BuildExportMap=0.460036, SortExportsNonSeekfree=4.306421, SortExportsSeekfreeConstructor=0.088181, SortExportsSeekfreeInner=34.385132, SortExportsSeekfree=0.005599, BuildDependencyMap=0.185229, SerializeImportMap=0.056922, SerializeExportMap=0.202492, SerializeDependencyMap=0.022396, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.633776, SerializeExports=60.527874, SerializeBulkData=0.020996, MoveFile=2.189137, UnaccountedTime=1.864873, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
SavePackageTransactionId8507D8554A8A517DDCA2A78E1C7AAC26_10, Filename=../../../../../../UnrealProjects/SteamProject/Saved/Autosaves/Game/Maps/UEDPCMainMenu.umap, AutoPackageBackupDelegate=6.912205, FlushAsyncLoading=0.004202, FlushStreamingFunc=0.122238, BlockTillAllRequestsFinished=0.020996, ResetLoadersForSaveUnMarkAllObjects=94.071785, TagPackageExports=1.789290, BeginCacheForCookedPlatformData=0.003733, SerializeImports=2.737355, GatherLocalizableTextData=3.918704, MarkNames=0.041056, SerializeSummary=0.016797, SerializeNames=0.336863, SerializeGatherableTextData=0.015397, BuildExportMap=0.223018, SortExportsNonSeekfree=0.263147, SortExportsSeekfreeConstructor=0.080716, SortExportsSeekfreeInner=10.623287, SortExportsSeekfree=0.005599, BuildDependencyMap=0.057854, SerializeImportMap=0.021461, SerializeExportMap=0.023328, SerializeDependencyMap=0.007000, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.863619, SerializeExports=3.669091, SerializeBulkData=0.007931, MoveFile=1.226608, UnaccountedTime=0.115711, RunGuid=RunID6919486A439C0097CE888F94400ABEFB
